message,source,media,link,sent_date
"Think About Your Troubles","Harry Nilsson","video","https://www.youtube.com/watch?v=guqFqcV4Po0",
"When you're married you'll understand the importance of fresh produce.","Tony Soprano","video","https://www.youtube.com/watch?v=wNG_uJhCbbI",
"This Must Be The Place (Naive Melody)","Kishi Bashi","video","https://www.youtube.com/watch?v=IslMHJFkIME",
"Why love what you will lose? THere is nothing else to love.","Louise Glück","text","https://en.wikipedia.org/wiki/Louise_Gl%C3%BCck",
"A special turtle","","video","https://twitter.com/amazingposts_/status/1566318313600319488?s=46&t=e-wTc4TZ3Hh6D85qkTVfNQ",
"No one way works, it will take all of us shoving from all sides to bring the thing down.","Diane di Prima","text","https://en.wikipedia.org/wiki/Diane_di_Prima",
"Gonna air fry a Big Mac for 120 minutes and see what happens","KLobstar","video","https://twitter.com/KLobstar/status/1477356741826383874?s=20&t=ZZkQp7BaY-OYB814gldYDg",
"Has Macho Man ever cried?","Arsenio Hall","video","https://twitter.com/Todd_Spence/status/1557503226424872960?s=20&t=ZZkQp7BaY-OYB814gldYDg",
"I realize I don't know very much. None of us knows very much. But we can all learn more. Then we can teach one another. We can stop denying reality or hoping it will go away by magic.","Octavia Butler","text","https://en.wikipedia.org/wiki/Octavia_E._Butler",
"Pigs can't look up.","Vincent D'Onofrio","video","https://twitter.com/vincentdonofrio/status/1119703427179663360?s=20&t=ZZkQp7BaY-OYB814gldYDg",
"I'm a part of it. Not separate from it. I walk on the ground and the ground's walked on by me, I breathe the air and change it, I am entirely interconnected with the world.","Ursula K LeGuin","text","https://en.wikipedia.org/wiki/Ursula_K._Le_Guin",
"The world is not just system, it is glitch. The world is not just presence, it is absence. The world is not world, it is unheard of.","Bayo Akomolafe","text","https://www.bayoakomolafe.net/",
"Tony Sirico and Steve Schirripa as Bert and Ernie","","video","https://twitter.com/patrickcotnoir/status/1545598676537573376?s=20&t=ZZkQp7BaY-OYB814gldYDg",
"In order for me to write poetry that isn't political, I must listen to the birds. And in order to hear the birds, the warplanes must be silent.","Marwan Makhoul","text","https://www.palestine-studies.org/en/node/232229",
"The heart is the smaller cousin of the sun. It sees and knows everything.","Joy Harjo","text","https://en.wikipedia.org/wiki/Joy_Harjo",
"Loving is the most effective form of optimism. To love is not to wait for better things; to love is to recognize better things, to nurture and protect them, and to let them love you back.","Aiden Arata","text","https://www.instagram.com/p/CfryxptPDv_/?igshid=YmMyMTA2M2Y%3D",
"I want to be a marshmallow.","","video","https://www.instagram.com/reel/ChYv0cAgAsg/?igshid=YmMyMTA2M2Y%3D",
"So, it turns out that running away from the pain you caused doesn't relieve guilt - it creates shame","gendersauce","text","https://www.instagram.com/p/Chrw1HBOr6p/?igshid=YmMyMTA2M2Y%3D",
"Things to say to people you love","Susanne Wolf","video","https://www.instagram.com/p/Cen9-aiOzOF/?igshid=YmMyMTA2M2Y%3D",
